square_id,model,weekday_mae,weekend_mae,weekend_penalty,n_weekday,n_weekend,ordinary_mae,holiday_mae,holiday_penalty,n_holiday
5161,persistence,64.86289638943143,84.9399226506551,1.309530214942652,1152,288,86.95457628038194,50.80202700297038,0.584236381523625,720
5161,seasonal_naive,499.5788251724508,201.09350646866693,0.4025260806425312,1152,288,336.67084896299576,543.0926739003924,1.613126516813711,720
5161,harmonic_arima,72.62802326599672,84.83396834735099,1.168061094498615,1152,288,83.01405738307253,67.1243671814626,0.8085903676736802,720
5161,lightgbm,121.15805784267774,95.88646205484159,0.7914163016656225,1152,288,128.01465701378024,104.19282035644079,0.8139132095258816,720
5161,lstm,121.20677329470143,107.9529274841232,0.8906509475476844,1152,288,103.01206374569293,134.09994451947867,1.3017887385552507,720
4159,persistence,10.326555795139736,9.285943720075819,0.899229511203175,1152,288,10.653116830190022,9.583749930063883,0.899619339844688,720
4159,seasonal_naive,32.842797223064636,22.7985467116038,0.6941718927519663,1152,288,32.411179855134755,29.256714386410184,0.9026735378710744,720
4159,harmonic_arima,10.078867939069694,9.322210440341617,0.9249263406066696,1152,288,10.11803935465094,9.737033523997217,0.962343907025961,720
4159,lightgbm,24.15206158451227,21.307893882763796,0.8822391334256814,1152,288,21.514232780650158,25.652223307674994,1.192337350311954,720
4159,lstm,21.34716343926943,12.90771429237384,0.6046571165810863,1152,288,18.19543855814146,21.123108661639158,1.1609013211823753,720
4556,persistence,23.154502775934006,23.04324796464708,0.9951951111900982,1152,288,23.637777625189887,22.62672600216336,0.9572272978002344,720
4556,seasonal_naive,60.974895768695404,39.0935681131151,0.641142024439274,1152,288,56.412436464097766,56.78482401106093,1.0066011604941076,720
4556,harmonic_arima,25.240808648749248,23.828065060782613,0.9440293848098785,1152,288,23.299113879833982,26.617405982477855,1.142421386485258,720
4556,lightgbm,56.139310106578215,52.860883160966466,0.9416019374055757,1152,288,51.036631888122166,59.930617546789556,1.1742667047105297,720
4556,lstm,49.11292067259913,36.36262864127892,0.7403882347719182,1152,288,40.60045590258382,52.52526863008636,1.2937113010778691,720
